Ambient_Temp,Humidity,Gas,VOC,CO,Core_Temp,Light,pH,Freshness,Source
20.731594,81.51752,6232.9424,1793.7493,254.05864,12.378814,222.44777,4.75662,fresh,GAN-Enhanced
18.824318,72.69867,4514.799,1258.1758,188.92708,12.122967,244.4599,4.510752,fresh,GAN-Enhanced
19.786362,78.94286,4817.464,1928.1553,267.22128,12.122915,222.26735,4.8336387,fresh,GAN-Enhanced
18.633678,72.22517,4091.0654,1284.7275,248.09041,6.704711,257.81693,4.884976,fresh,GAN-Enhanced
18.406763,78.53085,4299.849,1632.4799,248.10336,11.798706,251.1345,4.6924872,fresh,GAN-Enhanced
20.113335,77.3733,3156.8972,1139.7537,256.21176,9.288059,288.1029,4.411968,fresh,GAN-Enhanced
18.887949,74.933975,4897.3657,1413.7445,185.64325,10.2754345,176.93451,4.6544266,fresh,GAN-Enhanced
20.542915,66.54392,4254.822,1301.9963,267.7298,11.480534,199.2889,4.8210206,fresh,GAN-Enhanced
17.06088,69.37,3904.2844,1004.18805,243.2022,12.080253,278.31348,4.4916387,fresh,GAN-Enhanced
15.869342,84.50539,4066.3074,1654.0891,269.90475,9.351688,231.27565,4.642482,fresh,GAN-Enhanced
18.093588,77.93056,6108.2783,1959.149,219.1525,10.566533,181.24582,4.795598,fresh,GAN-Enhanced
22.123491,69.21805,4504.082,1534.4004,298.1959,7.6208153,226.40599,4.9716578,fresh,GAN-Enhanced
22.028564,78.59541,3233.842,1197.2369,192.11305,10.8257,211.58917,4.112246,fresh,GAN-Enhanced
20.105503,78.51895,6129.86,1818.3213,280.48563,13.17871,278.4393,4.308782,fresh,GAN-Enhanced
17.796291,77.71051,4426.6216,1682.6996,217.8937,13.403922,203.05013,5.1919336,fresh,GAN-Enhanced
20.187819,72.32925,3843.523,887.05505,245.79482,11.461861,244.63086,4.669968,fresh,GAN-Enhanced
19.60134,78.53274,5475.1514,1628.7246,207.2796,13.0079365,194.55888,4.558099,fresh,GAN-Enhanced
19.692774,70.15696,5375.244,1262.3661,253.7277,10.858859,285.1329,4.722904,fresh,GAN-Enhanced
17.651455,84.34447,5659.231,1933.4589,184.17288,6.0176725,233.53606,4.7746954,fresh,GAN-Enhanced
18.614546,79.996544,2613.9658,1409.9951,249.83667,13.280417,245.36351,4.1940336,fresh,GAN-Enhanced
18.195463,77.62458,3925.7415,1639.5002,250.90546,14.031148,273.8916,4.3721714,fresh,GAN-Enhanced
18.601791,78.61856,5586.2773,1588.2217,314.62643,12.852096,246.52802,4.4469113,fresh,GAN-Enhanced
17.89735,72.74314,4270.862,1122.3115,184.37926,14.615262,195.3364,5.0787196,fresh,GAN-Enhanced
18.016123,83.464424,5063.3735,2385.297,204.90262,6.643519,216.68767,5.288252,fresh,GAN-Enhanced
19.107496,79.12913,4914.5713,2127.788,246.74115,11.404307,208.58887,5.127534,fresh,GAN-Enhanced
16.852865,80.71909,4962.437,1194.1964,200.42633,7.01575,189.9459,4.420765,fresh,GAN-Enhanced
17.171894,77.257,4675.548,1790.3646,229.37746,10.1349535,191.49123,4.7897263,fresh,GAN-Enhanced
23.568247,82.26683,3218.3208,1389.3702,228.98032,7.5607967,251.61583,4.122784,fresh,GAN-Enhanced
18.564533,81.90968,3757.4902,1323.0656,219.7422,7.7735624,222.93729,4.452008,fresh,GAN-Enhanced
20.013643,75.12233,4932.4453,1930.0231,225.12556,12.245186,209.03629,4.805415,fresh,GAN-Enhanced
20.17683,82.29728,5306.0293,1964.3795,233.65965,13.366268,218.93317,5.2758183,fresh,GAN-Enhanced
19.342852,77.04572,4727.5566,1135.5487,242.10472,14.317391,241.26881,4.4066195,fresh,GAN-Enhanced
20.75917,76.200325,4594.7646,1614.3884,175.43349,11.449957,171.67796,4.6044035,fresh,GAN-Enhanced
17.313047,71.642685,4956.9497,1380.3778,302.4941,10.764488,264.34842,4.404057,fresh,GAN-Enhanced
16.910366,82.737076,5218.628,1944.8191,202.61787,11.925694,253.49222,4.747812,fresh,GAN-Enhanced
19.937119,80.054184,5695.115,1977.2858,192.23662,9.8787,188.59831,4.7644057,fresh,GAN-Enhanced
17.13991,74.32202,4627.725,1676.1667,158.01347,10.492662,214.95564,5.146687,fresh,GAN-Enhanced
19.84825,80.662476,6014.054,2012.7294,208.64507,10.829763,171.47179,5.0927434,fresh,GAN-Enhanced
19.988506,71.93077,4703.472,1437.4412,245.115,14.775615,225.03511,4.507982,fresh,GAN-Enhanced
19.354132,79.1035,4453.838,1894.1735,221.92227,10.82402,239.2825,4.877144,fresh,GAN-Enhanced
17.440271,75.81015,5481.1265,1374.5681,249.50325,15.803914,223.83057,4.503442,fresh,GAN-Enhanced
18.087654,71.22763,3299.8245,991.3394,218.88452,10.317935,248.37408,4.416585,fresh,GAN-Enhanced
20.885883,83.9566,6103.5195,2157.5015,275.89612,10.229345,201.40335,4.722307,fresh,GAN-Enhanced
18.522308,81.52203,4551.708,1957.1853,179.0382,11.870908,223.29558,5.0765753,fresh,GAN-Enhanced
20.82207,77.29432,5471.024,1812.3168,221.46123,8.92715,212.4557,5.2749095,fresh,GAN-Enhanced
19.748293,87.72623,3783.93,1967.9222,255.52512,9.798798,183.98732,4.757059,fresh,GAN-Enhanced
19.087862,77.51759,5855.3276,1654.6403,300.7417,7.7435665,202.72736,4.594453,fresh,GAN-Enhanced
16.735323,78.04603,4931.9355,1934.593,263.4599,8.417021,244.5662,4.552636,fresh,GAN-Enhanced
20.932207,75.39648,5274.578,1200.2278,200.5405,9.381771,218.74864,4.5184436,fresh,GAN-Enhanced
18.157238,77.89477,3961.7876,1293.2489,185.89917,12.989328,181.47679,5.421294,fresh,GAN-Enhanced
19.191689,73.89603,5491.883,1856.6821,256.16928,8.447933,252.7821,4.7206764,fresh,GAN-Enhanced
20.015438,77.714615,4867.2812,1772.0587,271.84717,10.532045,213.77196,4.801457,fresh,GAN-Enhanced
18.770264,74.08578,4484.161,1446.5637,240.70692,10.452793,239.07501,4.4263406,fresh,GAN-Enhanced
20.717741,70.59372,2924.813,1272.9022,301.69672,10.166131,261.25397,4.776772,fresh,GAN-Enhanced
17.197502,78.860435,4745.6914,1590.663,275.45822,7.995603,233.15932,4.6401305,fresh,GAN-Enhanced
17.000174,78.27886,5631.8823,1843.5132,242.61316,6.758123,254.1611,4.5021143,fresh,GAN-Enhanced
19.6181,78.96485,5636.149,1617.6865,243.7075,10.359456,230.41197,4.743381,fresh,GAN-Enhanced
19.819801,80.70991,5216.374,2019.5977,233.37573,11.315683,181.85023,4.579211,fresh,GAN-Enhanced
15.863901,75.49829,4148.6035,1521.894,203.66162,9.166305,199.23195,5.1815157,fresh,GAN-Enhanced
18.23783,76.961945,6243.376,1802.202,264.96335,5.0777903,210.64848,4.877619,fresh,GAN-Enhanced
18.151253,81.83562,5452.4336,1459.0927,178.43347,8.749237,211.0988,4.7270794,fresh,GAN-Enhanced
20.156425,78.82149,4964.95,1667.9807,206.28749,9.938558,200.04718,4.627728,fresh,GAN-Enhanced
18.394356,79.1019,2512.208,1608.4863,307.09665,7.7181187,213.3541,4.337617,fresh,GAN-Enhanced
24.382868,79.84812,5246.5522,1358.2616,235.44316,7.8931456,224.65433,4.5300703,fresh,GAN-Enhanced
15.883559,77.17562,4340.894,1181.3475,223.74896,11.835874,226.62383,4.2948475,fresh,GAN-Enhanced
16.530397,82.311554,5287.746,1867.6191,216.5602,6.5973573,154.96684,5.021916,fresh,GAN-Enhanced
17.300312,84.057495,4222.499,1846.7856,163.32747,8.576708,191.37434,5.0152802,fresh,GAN-Enhanced
15.829759,70.40056,4510.176,1256.8906,240.00916,12.211275,251.9123,4.470318,fresh,GAN-Enhanced
18.041597,73.978836,5359.47,1381.546,178.65309,11.549042,178.21962,4.727625,fresh,GAN-Enhanced
18.73285,81.26025,4844.589,2012.8033,242.89677,7.412197,267.84872,4.6867366,fresh,GAN-Enhanced
20.6562,68.51075,4090.8584,906.1199,189.27025,13.584303,253.52505,4.794671,fresh,GAN-Enhanced
