Sr_No,Fruit_Type,Climacteric,Ambient_Temp,Humidity,Gas,VOC,CO,Core_Temp,Light,pH,Ethylene_Production,Respiration_Rate,Sugar_Content,Moisture_Content,O2_Level,CO2_Level,Days_Stored,Shelf_Life,Spoilage_Resistance,Freshness
434,Avocado,True,2.1,86.9,131.53003751194015,64.83927929670777,7.0,1.5,26.410237078205,6.8,30.86,27.68,0.8,73.4,20.09506476668951,656.7557062113881,2.5948980546424014,8.862448277367962,6,fresh
445,Blueberry,False,5.7,96.2,376.3742937294831,184.06608680737344,3.3,5.3,34.98767775234343,4.7891341506246725,0.04,10.28,13.0,82.0,20.02395736792405,410.34535746147264,5.915170706904176,10.9090671074226,4,fresh
118,Pineapple,False,1.8,93.5,120.1388742831491,48.163340408969646,3.5,1.5,15.386812317544274,6.0,0.08,10.94,13.9,86.5,20.867872575987256,624.0061509058663,5.817685468462247,12.971716360766333,6,fresh
357,Avocado,True,7.2,92.9,308.07177428814765,167.87940991818235,13.3,6.6,5.311423192739784,6.5,44.95,52.82,1.4,71.4,20.019292359687096,456.26581655474,2.63115210928781,8.971418856855864,6,fresh
842,Pear,True,4.1,88.9,216.53362620799575,57.21204803538668,1.8,3.4,46.046592296132346,6.3,4.63,7.08,11.7,83.6,20.118570231857543,545.3932171696204,2.452181705880593,13.912341743177288,5,fresh
47,Pear,True,2.8,88.4,272.2034988012237,67.56515992323494,3.1,2.0,12.841496516126238,6.0,1.17,11.2,12.1,83.5,20.099858081023317,687.7092395011676,3.6598109038762456,10.119065156046673,5,fresh
717,Papaya,True,24.8,61.9,1358.39288797807,372.429172862184,25.0,24.5,227.8295138859073,6.3,13.7,103.81,7.6,84.3,19.314706165080022,1203.0137936366827,2.022580744334779,6.917940706303584,3,fresh
150,Pineapple,False,7.7,84.4,160.93811204698846,111.72322202323984,4.4,7.5,11.37305551864452,6.5,0.19,17.55,15.1,85.3,20.90879098932047,620.5524601980792,2.6051187102900446,10.101017249000675,6,fresh
718,Kiwi,True,7.1,87.6,436.4904240763551,202.05052511133007,5.8,6.6,25.531861044177113,6.0,0.11,14.79,8.5,80.6,20.398733044908365,580.5622236725053,9.765328905915117,23.185615862528607,4,fresh
664,Avocado,True,4.2,91.0,268.9652623745744,73.3323333966643,7.8,3.5,19.19653742726127,6.5,52.04,26.96,0.8,72.8,20.045388424846912,359.56962944419337,4.413061863560317,12.537602437555702,6,fresh
948,Blueberry,False,4.6,83.5,109.18094945899291,41.02212016098097,2.4,4.3,42.28261228490129,6.1,0.03,10.33,12.0,83.6,20.8382169096781,569.9194551288224,1.5580068263380555,13.232945861555471,4,fresh
85,Pear,True,5.1,90.0,272.8526070262275,121.36588793119913,2.6,4.4,36.81430111854765,6.6,4.53,10.26,13.9,82.6,20.627235196922257,642.0203679015937,2.6408408237776304,10.62290938609233,5,fresh
159,Pineapple,False,3.5,85.8,102.76036818578125,45.997662661584,3.2,3.2,1.6172231280438543,6.8,0.09,11.37,13.3,85.3,20.118413723416083,507.35663746854925,3.9371428016254377,11.893997460611205,6,fresh
242,Strawberry,False,3.5,88.2,256.89853182828887,84.59188343037911,3.0,2.6,48.56373005144074,6.574914465409058,0.06,13.13,5.7,90.6,20.642846800722317,476.2865019167776,1.5152387379912273,4.101207371431034,2,fresh
975,Orange,False,5.2,86.7,158.85364430696546,108.42989366767218,2.8,5.0,35.21957858729051,5.8,0.03,5.4,7.5,84.2,20.420075651596814,372.11004819272813,15.812066961463696,29.78198430896697,6,fresh
328,Cherry,False,8.3,89.5,194.97510430201007,111.7021194236066,2.9,7.6,48.95091953743498,6.1,0.02,12.86,13.4,82.3,20.44795814874375,375.55812684620804,1.1255338621042066,5.918629331973216,3,fresh
564,Avocado,True,4.8,90.3,323.80390470143135,67.59982150369383,7.3,3.9,7.287589152540513,6.9,43.76,26.45,1.2,73.1,20.35437756942422,678.3110681031465,3.8742460762708197,11.65587683780755,6,fresh
296,Pineapple,False,23.9,84.5,294.1795351893996,228.78020924245521,19.8,23.5,175.27987009119173,6.7,0.59,77.27,8.5,83.8,19.724953748354746,1313.884273865487,2.842576689132178,19.106730916156838,6,fresh
39,Kiwi,True,5.9,94.8,365.3570409266023,137.39811923617245,5.7,5.0,40.71894487229213,6.6,0.74,17.52,12.0,81.3,20.909906325235646,479.87181748498966,6.164136720342537,27.705431577297762,4,fresh
663,Orange,False,3.8,89.7,160.84061352057913,50.645943904059834,1.3,3.3,13.088790591660732,5.8,0.04,2.95,8.7,85.9,20.163823799266478,579.2041190948573,12.440803052024657,28.961262731811065,6,fresh
332,Pear,True,6.2,92.6,215.88474863924034,103.01917413097445,4.3,5.4,14.387541838580436,6.5,1.57,18.94,8.9,83.6,20.243428378846406,628.9127061965476,1.2574488968741493,12.47541678958293,5,fresh
868,Banana,True,3.9,94.1,426.3789085342145,94.2479996719541,10.4,3.5,44.304751689357865,6.0,553.17,30.3,18.7,74.3,20.698856759567143,763.3990185819737,7.219758626740035,12.456022634665171,4,fresh
602,Mango,True,4.2,88.4,228.68893574400974,57.55073439575906,5.6,3.7,43.86322049490368,6.5,1.88,22.81,16.9,81.7,20.828301856635935,334.8348032226048,2.2598803474486013,8.073390144755626,5,fresh
412,Pear,True,22.2,52.9,2656.109091300621,801.6752991015712,15.4,21.9,266.2659472206953,5.004479147259612,44.81,55.26,10.7,79.7,19.492104501621426,1153.3163211000217,3.941333886137374,6.498138642953215,5,fresh
23,Cherry,False,3.6,91.3,156.20147308612,44.272326492507155,2.6,3.0,24.05554757694281,6.9,0.05,10.51,15.8,81.4,20.790110023014883,415.3185941271735,2.2189888437620313,7.507006967021606,3,fresh
847,Strawberry,False,2.1,92.7,255.81661347512664,88.85641482647462,2.0,1.7,20.354494606777358,6.060731595206805,0.05,7.84,7.8,89.4,20.88453933493445,485.5942708509435,2.50304599127823,5.013744612018945,2,fresh
863,Tomato,True,5.5,89.1,458.6085721060141,171.70086983833278,2.4,5.0,44.54682065938891,6.0,1.66,7.38,3.5,91.5,20.81640100644158,444.9251079642001,6.248228555692234,13.207546954283295,5,fresh
