Sr_No,Fruit_Type,Climacteric,Ambient_Temp,Humidity,Gas,VOC,CO,Core_Temp,Light,pH,Ethylene_Production,Respiration_Rate,Sugar_Content,Moisture_Content,O2_Level,CO2_Level,Days_Stored,Shelf_Life,Spoilage_Resistance,Freshness
434,Avocado,True,2.1,86.9,131.53003751194015,64.83927929670777,7.0,1.5,26.410237078205,6.8,30.86,27.68,0.8,73.4,20.09506476668951,656.7557062113881,2.5948980546424014,8.862448277367962,6,fresh
1767,Papaya,True,24.2,94.2,6878.258056284341,1856.9333265509338,48.3,23.8,276.0892766097497,4.433874866543153,12.27,89.2,7.2,77.2,19.043728612075927,1224.6146193032741,8.649574592551964,6.758764969134839,3,spoiled
1287,Apple,True,23.0,62.8,4995.232243866445,1569.27531428683,31.7,22.5,164.55149895697267,3.5,2.02,27.14,7.5,72.1,18.62732422006607,939.6373730070752,34.97611794626319,26.608152223451036,7,spoiled
445,Blueberry,False,5.7,96.2,376.3742937294831,184.06608680737344,3.3,5.3,34.98767775234343,4.7891341506246725,0.04,10.28,13.0,82.0,20.02395736792405,410.34535746147264,5.915170706904176,10.9090671074226,4,fresh
118,Pineapple,False,1.8,93.5,120.1388742831491,48.163340408969646,3.5,1.5,15.386812317544274,6.0,0.08,10.94,13.9,86.5,20.867872575987256,624.0061509058663,5.817685468462247,12.971716360766333,6,fresh
1740,Pineapple,False,23.2,89.1,628.2811778936139,778.0817270309637,24.4,22.9,131.36808196134956,5.334361480866303,0.33,58.1,12.2,77.5,18.978663181629408,1039.1327659655472,9.44111949310236,12.201377233981505,6,spoiled
1828,Strawberry,False,34.1,81.0,1778.0254413779,1096.4428497569356,35.4,33.2,335.40006298735136,4.480480754937482,0.1,109.43,3.7,81.1,18.020380388068517,1987.5663060372672,6.19296510102626,6.546795988379528,2,spoiled
357,Avocado,True,7.2,92.9,308.07177428814765,167.87940991818235,13.3,6.6,5.311423192739784,6.5,44.95,52.82,1.4,71.4,20.019292359687096,456.26581655474,2.63115210928781,8.971418856855864,6,fresh
1798,Kiwi,True,28.3,76.8,4702.48675695385,1914.684328086879,90.8,27.7,293.5508264343414,4.061395206974184,1.65,114.41,4.0,70.5,18.440666390422486,1069.374068809468,23.82861368408461,26.306464706998078,4,spoiled
1948,Pear,True,18.1,70.2,5252.675679495377,1326.8331633955936,24.5,17.5,78.55470970561773,5.074440489940123,10.22,52.76,10.1,74.3,17.01458439209607,1204.239844870807,12.599261677828345,6.312688976276911,5,spoiled
1833,Mango,True,8.2,88.7,2000.5699007254973,697.0741313721701,34.7,7.7,1.3142021141848148,4.818001091786593,1.42,56.64,14.1,79.2,20.73942591661427,646.0825029117275,13.527247298136789,10.794794114618117,5,spoiled
1790,Peach,True,32.1,67.2,7048.827326155285,1733.3537555684707,26.0,31.5,221.31074060032898,5.039760099901557,38.25,80.19,8.1,78.4,18.89322399495068,1916.6770645613242,6.1982824533585195,5.421479461035036,3,spoiled
1491,Banana,True,20.9,92.2,4278.308271244612,1582.7232170816237,72.3,20.0,115.01214880279522,4.845853248615805,191.89,151.01,14.4,66.4,19.58306283038262,1656.7302111708423,10.083812854983702,9.790997848286768,4,spoiled
842,Pear,True,4.1,88.9,216.53362620799575,57.21204803538668,1.8,3.4,46.046592296132346,6.3,4.63,7.08,11.7,83.6,20.118570231857543,545.3932171696204,2.452181705880593,13.912341743177288,5,fresh
47,Pear,True,2.8,88.4,272.2034988012237,67.56515992323494,3.1,2.0,12.841496516126238,6.0,1.17,11.2,12.1,83.5,20.099858081023317,687.7092395011676,3.6598109038762456,10.119065156046673,5,fresh
717,Papaya,True,24.8,61.9,1358.39288797807,372.429172862184,25.0,24.5,227.8295138859073,6.3,13.7,103.81,7.6,84.3,19.314706165080022,1203.0137936366827,2.022580744334779,6.917940706303584,3,fresh
150,Pineapple,False,7.7,84.4,160.93811204698846,111.72322202323984,4.4,7.5,11.37305551864452,6.5,0.19,17.55,15.1,85.3,20.90879098932047,620.5524601980792,2.6051187102900446,10.101017249000675,6,fresh
1698,Strawberry,False,29.0,83.3,1840.9237969975688,1010.0183750474106,32.8,28.5,169.61687127570872,4.142163970369433,0.03,69.02,6.0,82.7,19.55919787893336,1746.1515141880468,4.996713690545815,4.125529740666698,2,spoiled
718,Kiwi,True,7.1,87.6,436.4904240763551,202.05052511133007,5.8,6.6,25.531861044177113,6.0,0.11,14.79,8.5,80.6,20.398733044908365,580.5622236725053,9.765328905915117,23.185615862528607,4,fresh
1847,Strawberry,False,29.7,83.5,1747.6247108386997,1246.3417202328992,61.5,29.0,189.05685233668345,4.740441735493244,0.22,111.38,4.2,80.4,19.532345551258476,1729.3375598966427,7.535315596151824,6.175980953586441,2,spoiled
1085,Banana,True,12.3,73.4,1768.301230943683,615.0852422171887,17.0,12.0,103.02066892236766,5.521113371448911,820.12,44.35,16.4,70.7,18.10827443430398,943.7157208212955,9.126842178018057,13.447693516088455,4,spoiled
664,Avocado,True,4.2,91.0,268.9652623745744,73.3323333966643,7.8,3.5,19.19653742726127,6.5,52.04,26.96,0.8,72.8,20.045388424846912,359.56962944419337,4.413061863560317,12.537602437555702,6,fresh
948,Blueberry,False,4.6,83.5,109.18094945899291,41.02212016098097,2.4,4.3,42.28261228490129,6.1,0.03,10.33,12.0,83.6,20.8382169096781,569.9194551288224,1.5580068263380555,13.232945861555471,4,fresh
1476,Blueberry,False,26.6,85.8,1422.779989611985,711.2489635471017,73.8,26.3,270.0345848248327,3.5,0.19,75.6,7.7,71.1,19.569393365549868,922.9285359668863,18.993317045565135,11.887388017946147,4,spoiled
1571,Grape,False,27.6,85.5,897.2798422237037,1409.3074928752599,21.5,26.7,137.98469743129104,4.403165287296538,0.07,34.61,17.5,69.4,19.84311949729014,847.3114922127866,14.059640412183406,10.624773676770108,4,spoiled
85,Pear,True,5.1,90.0,272.8526070262275,121.36588793119913,2.6,4.4,36.81430111854765,6.6,4.53,10.26,13.9,82.6,20.627235196922257,642.0203679015937,2.6408408237776304,10.62290938609233,5,fresh
1774,Banana,True,18.3,64.7,6266.144632374423,1501.3926398755373,56.0,17.4,82.17685051244561,4.798185766883341,312.71,100.44,14.3,63.3,20.79455885219933,948.534803881517,17.89613848224983,12.777701464599694,4,spoiled
159,Pineapple,False,3.5,85.8,102.76036818578125,45.997662661584,3.2,3.2,1.6172231280438543,6.8,0.09,11.37,13.3,85.3,20.118413723416083,507.35663746854925,3.9371428016254377,11.893997460611205,6,fresh
1321,Pear,True,32.0,67.1,8488.505075485722,2128.047354092557,62.8,31.5,302.48073832133525,4.284003543696921,12.47,106.97,8.0,70.7,18.876459737208798,1979.0708291971923,14.13186080062828,6.356423824439142,5,spoiled
242,Strawberry,False,3.5,88.2,256.89853182828887,84.59188343037911,3.0,2.6,48.56373005144074,6.574914465409058,0.06,13.13,5.7,90.6,20.642846800722317,476.2865019167776,1.5152387379912273,4.101207371431034,2,fresh
975,Orange,False,5.2,86.7,158.85364430696546,108.42989366767218,2.8,5.0,35.21957858729051,5.8,0.03,5.4,7.5,84.2,20.420075651596814,372.11004819272813,15.812066961463696,29.78198430896697,6,fresh
1280,Tomato,True,30.1,83.9,1942.883266334439,567.2335075637551,43.9,29.4,195.96130806897605,6.6,11.73,144.76,2.6,85.9,20.128621730648415,1259.1233973207143,5.159916408432793,11.452477659304936,5,spoiled
1147,Grape,False,21.1,62.4,1439.464015963232,762.8115194543867,10.5,20.8,276.993765234092,5.178163244153925,0.18,24.07,16.1,71.2,19.97943813599765,1096.6803960624113,11.789518439776746,12.888303330443811,4,spoiled
1964,Kiwi,True,17.0,66.8,3900.161652773438,1220.362713318753,21.9,16.5,113.12677871299164,4.890135202298857,0.41,34.53,9.8,69.9,18.793306301458877,1983.1651923686543,21.756201937234046,16.818744552659957,4,spoiled
328,Cherry,False,8.3,89.5,194.97510430201007,111.7021194236066,2.9,7.6,48.95091953743498,6.1,0.02,12.86,13.4,82.3,20.44795814874375,375.55812684620804,1.1255338621042066,5.918629331973216,3,fresh
564,Avocado,True,4.8,90.3,323.80390470143135,67.59982150369383,7.3,3.9,7.287589152540513,6.9,43.76,26.45,1.2,73.1,20.35437756942422,678.3110681031465,3.8742460762708197,11.65587683780755,6,fresh
1918,Orange,False,13.0,74.9,277.13903555273845,174.51224341337237,5.3,12.2,84.31384385313912,5.8,0.05,11.48,9.3,79.6,18.21621514755962,1077.5171219271783,13.095676999723453,28.799682348199806,6,spoiled
296,Pineapple,False,23.9,84.5,294.1795351893996,228.78020924245521,19.8,23.5,175.27987009119173,6.7,0.59,77.27,8.5,83.8,19.724953748354746,1313.884273865487,2.842576689132178,19.106730916156838,6,fresh
39,Kiwi,True,5.9,94.8,365.3570409266023,137.39811923617245,5.7,5.0,40.71894487229213,6.6,0.74,17.52,12.0,81.3,20.909906325235646,479.87181748498966,6.164136720342537,27.705431577297762,4,fresh
663,Orange,False,3.8,89.7,160.84061352057913,50.645943904059834,1.3,3.3,13.088790591660732,5.8,0.04,2.95,8.7,85.9,20.163823799266478,579.2041190948573,12.440803052024657,28.961262731811065,6,fresh
332,Pear,True,6.2,92.6,215.88474863924034,103.01917413097445,4.3,5.4,14.387541838580436,6.5,1.57,18.94,8.9,83.6,20.243428378846406,628.9127061965476,1.2574488968741493,12.47541678958293,5,fresh
1526,Banana,True,4.3,84.2,885.3013616002862,177.76890582272418,8.9,4.1,14.900816138246725,4.7,119.77,19.06,12.7,72.3,20.07606039989853,790.1996648906684,13.45705727611272,10.644406326076028,4,spoiled
1114,Cucumber,False,32.4,68.1,2208.8124686722767,1358.5207468375074,22.0,32.1,245.23960681605337,4.6513109734812925,0.44,46.46,1.3,81.8,18.543624367898538,1229.516075562307,13.689908422585038,12.306580736091139,5,spoiled
868,Banana,True,3.9,94.1,426.3789085342145,94.2479996719541,10.4,3.5,44.304751689357865,6.0,553.17,30.3,18.7,74.3,20.698856759567143,763.3990185819737,7.219758626740035,12.456022634665171,4,fresh
602,Mango,True,4.2,88.4,228.68893574400974,57.55073439575906,5.6,3.7,43.86322049490368,6.5,1.88,22.81,16.9,81.7,20.828301856635935,334.8348032226048,2.2598803474486013,8.073390144755626,5,fresh
412,Pear,True,22.2,52.9,2656.109091300621,801.6752991015712,15.4,21.9,266.2659472206953,5.004479147259612,44.81,55.26,10.7,79.7,19.492104501621426,1153.3163211000217,3.941333886137374,6.498138642953215,5,fresh
23,Cherry,False,3.6,91.3,156.20147308612,44.272326492507155,2.6,3.0,24.05554757694281,6.9,0.05,10.51,15.8,81.4,20.790110023014883,415.3185941271735,2.2189888437620313,7.507006967021606,3,fresh
847,Strawberry,False,2.1,92.7,255.81661347512664,88.85641482647462,2.0,1.7,20.354494606777358,6.060731595206805,0.05,7.84,7.8,89.4,20.88453933493445,485.5942708509435,2.50304599127823,5.013744612018945,2,fresh
1159,Peach,True,22.4,87.5,2796.173829379572,809.70320729516,4.7,22.1,186.20514592030466,5.118487223610579,242.41,16.07,7.5,82.8,19.627714047237312,1406.0414027783986,4.602237030823412,6.500502517609807,3,spoiled
1308,Peach,True,26.0,86.9,5723.139371896774,1436.843057850005,98.1,25.6,127.99536071698864,4.403584753987133,55.24,269.89,10.1,84.6,18.29690099282157,1277.7901596868448,3.691369936123038,3.2956076546169615,3,spoiled
863,Tomato,True,5.5,89.1,458.6085721060141,171.70086983833278,2.4,5.0,44.54682065938891,6.0,1.66,7.38,3.5,91.5,20.81640100644158,444.9251079642001,6.248228555692234,13.207546954283295,5,fresh
723,Cucumber,False,6.5,95.6,139.76606298823933,98.7810911844132,1.2,6.0,10.89415627055868,6.8,0.06,4.55,1.4,95.0,20.596064489480526,483.28752345078374,2.669947631431177,13.384580941165282,5,fresh
1358,Avocado,True,25.1,70.1,2311.096053238676,700.8008983680442,67.8,24.8,334.6312718754822,5.6,544.37,208.11,0.9,66.9,19.10068853559839,1518.0853498936044,6.2874039787680305,8.099719483887379,6,spoiled
1366,Strawberry,False,27.5,85.6,619.3890162660317,1042.068315596879,29.8,27.2,203.12279797393535,5.24699042783082,0.09,105.96,6.8,85.8,18.845001714621638,1332.428144828339,3.9961324791583017,5.033525832563791,2,spoiled
1729,Peach,True,22.2,47.8,1704.1254648954607,453.81607310887506,44.6,21.6,236.30781468473205,5.9,362.41,179.22,9.2,86.3,20.585954617044393,1257.9201376441792,2.4356073251612083,4.727667225581925,3,spoiled
1548,Peach,True,20.5,84.9,5579.040262176302,1246.2669726960787,50.2,19.8,67.30184681759901,4.979873759937754,37.39,123.22,8.0,81.0,19.786316141457014,1220.6718440968073,7.228247157414021,5.821735200856875,3,spoiled
1555,Pear,True,27.3,77.2,2061.3193056380173,596.0385960232072,44.9,26.6,277.82236648151604,6.0,23.35,132.56,9.4,75.9,18.489897814798024,1142.505785890987,6.951374117095773,12.44033242113927,5,spoiled
579,Kiwi,True,4.9,92.4,277.6569445810074,58.37939974725431,5.2,4.0,15.109797126824514,6.1,0.54,16.73,9.5,82.2,20.58102401021163,722.426508168363,5.40344169125244,24.409379284126096,4,fresh
98,Watermelon,False,5.7,88.2,335.07183904550544,173.2650013031708,1.3,5.2,1.6397954086972866,5.460983441030812,0.02,3.52,5.7,89.4,20.48864802489179,608.5028748030588,8.843754343944713,16.319011447653246,5,fresh
28,Cherry,False,5.5,89.9,176.64980337885626,89.15630588651398,3.2,4.8,47.68200829132037,6.4,0.03,13.2,16.0,80.8,20.96788008456316,618.586519073664,1.990430499554458,9.209768565638594,3,fresh
1218,Mango,True,28.8,70.2,6682.013792046828,2264.5197775580004,133.8,28.2,158.94856241169475,4.035864721562091,4.34,173.09,10.1,71.2,18.713444756934532,1784.6277406074319,19.06707154975417,13.680246500090277,5,spoiled
1363,Peach,True,25.1,74.6,6983.489730054906,1599.6475248953534,139.6,24.1,167.40041416258867,4.9459558256373155,75.67,272.37,8.6,79.5,18.994711859335155,1101.9283949845794,7.866099251412455,4.6424246652428005,3,spoiled
1770,Grape,False,24.8,79.7,913.3524202835112,1216.2432914990075,12.1,24.1,107.35847296487246,4.7597908561544955,0.18,26.77,19.3,71.7,18.236481301148817,1509.1541653140362,9.095440311212275,7.3961380514674975,4,spoiled
