Sr_No,Fruit_Type,Climacteric,Ambient_Temp,Humidity,Gas,VOC,CO,Core_Temp,Light,pH,Ethylene_Production,Respiration_Rate,Sugar_Content,Moisture_Content,O2_Level,CO2_Level,Days_Stored,Shelf_Life,Spoilage_Resistance,Freshness
1767,Papaya,True,24.2,94.2,6878.258056284341,1856.9333265509338,48.3,23.8,276.0892766097497,4.433874866543153,12.27,89.2,7.2,77.2,19.043728612075927,1224.6146193032741,8.649574592551964,6.758764969134839,3,spoiled
1287,Apple,True,23.0,62.8,4995.232243866445,1569.27531428683,31.7,22.5,164.55149895697267,3.5,2.02,27.14,7.5,72.1,18.62732422006607,939.6373730070752,34.97611794626319,26.608152223451036,7,spoiled
1740,Pineapple,False,23.2,89.1,628.2811778936139,778.0817270309637,24.4,22.9,131.36808196134956,5.334361480866303,0.33,58.1,12.2,77.5,18.978663181629408,1039.1327659655472,9.44111949310236,12.201377233981505,6,spoiled
1828,Strawberry,False,34.1,81.0,1778.0254413779,1096.4428497569356,35.4,33.2,335.40006298735136,4.480480754937482,0.1,109.43,3.7,81.1,18.020380388068517,1987.5663060372672,6.19296510102626,6.546795988379528,2,spoiled
1798,Kiwi,True,28.3,76.8,4702.48675695385,1914.684328086879,90.8,27.7,293.5508264343414,4.061395206974184,1.65,114.41,4.0,70.5,18.440666390422486,1069.374068809468,23.82861368408461,26.306464706998078,4,spoiled
1948,Pear,True,18.1,70.2,5252.675679495377,1326.8331633955936,24.5,17.5,78.55470970561773,5.074440489940123,10.22,52.76,10.1,74.3,17.01458439209607,1204.239844870807,12.599261677828345,6.312688976276911,5,spoiled
1833,Mango,True,8.2,88.7,2000.5699007254973,697.0741313721701,34.7,7.7,1.3142021141848148,4.818001091786593,1.42,56.64,14.1,79.2,20.73942591661427,646.0825029117275,13.527247298136789,10.794794114618117,5,spoiled
1790,Peach,True,32.1,67.2,7048.827326155285,1733.3537555684707,26.0,31.5,221.31074060032898,5.039760099901557,38.25,80.19,8.1,78.4,18.89322399495068,1916.6770645613242,6.1982824533585195,5.421479461035036,3,spoiled
1491,Banana,True,20.9,92.2,4278.308271244612,1582.7232170816237,72.3,20.0,115.01214880279522,4.845853248615805,191.89,151.01,14.4,66.4,19.58306283038262,1656.7302111708423,10.083812854983702,9.790997848286768,4,spoiled
1698,Strawberry,False,29.0,83.3,1840.9237969975688,1010.0183750474106,32.8,28.5,169.61687127570872,4.142163970369433,0.03,69.02,6.0,82.7,19.55919787893336,1746.1515141880468,4.996713690545815,4.125529740666698,2,spoiled
1847,Strawberry,False,29.7,83.5,1747.6247108386997,1246.3417202328992,61.5,29.0,189.05685233668345,4.740441735493244,0.22,111.38,4.2,80.4,19.532345551258476,1729.3375598966427,7.535315596151824,6.175980953586441,2,spoiled
1085,Banana,True,12.3,73.4,1768.301230943683,615.0852422171887,17.0,12.0,103.02066892236766,5.521113371448911,820.12,44.35,16.4,70.7,18.10827443430398,943.7157208212955,9.126842178018057,13.447693516088455,4,spoiled
1476,Blueberry,False,26.6,85.8,1422.779989611985,711.2489635471017,73.8,26.3,270.0345848248327,3.5,0.19,75.6,7.7,71.1,19.569393365549868,922.9285359668863,18.993317045565135,11.887388017946147,4,spoiled
1571,Grape,False,27.6,85.5,897.2798422237037,1409.3074928752599,21.5,26.7,137.98469743129104,4.403165287296538,0.07,34.61,17.5,69.4,19.84311949729014,847.3114922127866,14.059640412183406,10.624773676770108,4,spoiled
1774,Banana,True,18.3,64.7,6266.144632374423,1501.3926398755373,56.0,17.4,82.17685051244561,4.798185766883341,312.71,100.44,14.3,63.3,20.79455885219933,948.534803881517,17.89613848224983,12.777701464599694,4,spoiled
1321,Pear,True,32.0,67.1,8488.505075485722,2128.047354092557,62.8,31.5,302.48073832133525,4.284003543696921,12.47,106.97,8.0,70.7,18.876459737208798,1979.0708291971923,14.13186080062828,6.356423824439142,5,spoiled
1280,Tomato,True,30.1,83.9,1942.883266334439,567.2335075637551,43.9,29.4,195.96130806897605,6.6,11.73,144.76,2.6,85.9,20.128621730648415,1259.1233973207143,5.159916408432793,11.452477659304936,5,spoiled
1147,Grape,False,21.1,62.4,1439.464015963232,762.8115194543867,10.5,20.8,276.993765234092,5.178163244153925,0.18,24.07,16.1,71.2,19.97943813599765,1096.6803960624113,11.789518439776746,12.888303330443811,4,spoiled
1964,Kiwi,True,17.0,66.8,3900.161652773438,1220.362713318753,21.9,16.5,113.12677871299164,4.890135202298857,0.41,34.53,9.8,69.9,18.793306301458877,1983.1651923686543,21.756201937234046,16.818744552659957,4,spoiled
1918,Orange,False,13.0,74.9,277.13903555273845,174.51224341337237,5.3,12.2,84.31384385313912,5.8,0.05,11.48,9.3,79.6,18.21621514755962,1077.5171219271783,13.095676999723453,28.799682348199806,6,spoiled
1526,Banana,True,4.3,84.2,885.3013616002862,177.76890582272418,8.9,4.1,14.900816138246725,4.7,119.77,19.06,12.7,72.3,20.07606039989853,790.1996648906684,13.45705727611272,10.644406326076028,4,spoiled
1114,Cucumber,False,32.4,68.1,2208.8124686722767,1358.5207468375074,22.0,32.1,245.23960681605337,4.6513109734812925,0.44,46.46,1.3,81.8,18.543624367898538,1229.516075562307,13.689908422585038,12.306580736091139,5,spoiled
1159,Peach,True,22.4,87.5,2796.173829379572,809.70320729516,4.7,22.1,186.20514592030466,5.118487223610579,242.41,16.07,7.5,82.8,19.627714047237312,1406.0414027783986,4.602237030823412,6.500502517609807,3,spoiled
1308,Peach,True,26.0,86.9,5723.139371896774,1436.843057850005,98.1,25.6,127.99536071698864,4.403584753987133,55.24,269.89,10.1,84.6,18.29690099282157,1277.7901596868448,3.691369936123038,3.2956076546169615,3,spoiled
1358,Avocado,True,25.1,70.1,2311.096053238676,700.8008983680442,67.8,24.8,334.6312718754822,5.6,544.37,208.11,0.9,66.9,19.10068853559839,1518.0853498936044,6.2874039787680305,8.099719483887379,6,spoiled
1366,Strawberry,False,27.5,85.6,619.3890162660317,1042.068315596879,29.8,27.2,203.12279797393535,5.24699042783082,0.09,105.96,6.8,85.8,18.845001714621638,1332.428144828339,3.9961324791583017,5.033525832563791,2,spoiled
