ambient_temp,humidity,gas,voc,co,core_temp,light,ph
23.0,94.91755,439.99982,350.7625,17.12019,21.576208,624.38403,4.6307077
4.507157,59.655582,99.26383,141.76605,4.7501235,4.0764947,250.27147,6.5427456
22.975315,94.90199,438.21786,344.28677,15.38057,21.587065,587.7046,5.359402
18.889984,94.723076,376.6139,315.28558,11.940026,21.591087,594.2708,6.108812
4.61609,73.71225,300.9738,182.54237,11.422766,21.594526,584.41,5.8899627
4.51526,63.740276,98.87395,143.72862,7.0114145,4.0764813,250.04433,6.467664
4.5048347,60.615776,159.15218,120.63453,7.578041,21.582514,582.38324,6.4653487
4.5463815,59.270973,98.90954,138.36183,4.478885,4.0764813,250.07458,6.8092494
22.547401,94.32435,431.65152,315.0195,11.826178,21.587475,589.06274,5.7376757
4.52427,56.458694,98.78921,114.929344,3.9601574,4.076481,250.0,6.753962
4.5226326,58.053764,98.85418,133.92084,4.8357825,4.076481,250.00542,6.597324
4.542233,63.519283,99.315094,140.79478,6.2171016,4.076518,250.64725,6.5955954
4.522445,60.269283,98.791016,112.79304,4.0187836,4.076481,250.0006,6.675821
4.5099435,82.67792,150.83633,248.52106,12.903919,21.594198,530.8672,5.3207088
23.0,94.91755,440.0,350.77045,17.129005,21.585396,626.29614,4.5683985
4.5157137,61.09489,98.831375,136.95174,5.863208,4.0764813,250.0913,6.730786
4.521396,60.748516,98.80906,112.18721,4.587107,4.076481,250.00244,6.60039
4.5591674,58.31122,98.88624,131.92778,5.10209,4.076481,250.03796,6.5892735
4.579868,82.58437,243.15292,159.7448,9.964017,21.594551,570.2743,5.925088
4.5236697,59.38466,98.79053,130.13776,4.7380857,4.076481,250.00027,6.386147
4.517486,61.00548,98.79018,113.85939,4.1786256,4.076481,250.00003,6.502508
4.5294147,61.390236,98.790634,104.3204,4.359225,4.076481,250.00052,6.6487
4.50925,56.488293,98.78926,107.82676,3.9835804,4.076481,250.0,6.6372623
22.998959,94.91031,438.2478,344.9645,16.2845,21.566277,530.2899,5.1447797
4.5169272,60.91246,98.79394,119.9743,5.5513635,4.076481,250.00107,6.7059426
4.516631,58.322468,123.346,144.53345,8.272181,21.572412,461.7221,6.384712
23.0,94.91755,439.9999,350.76932,17.085386,21.579533,600.01874,4.5997667
4.7850823,61.53067,399.2109,141.43054,8.535066,21.594856,596.5409,5.709407
4.549684,56.204086,98.789116,103.75591,3.9355702,4.076481,250.0,6.6165924
4.5341997,60.541077,98.791374,117.421196,4.792161,4.076481,250.00014,6.688804
13.6582,91.51567,425.41678,263.0468,11.603343,21.593868,590.6254,5.4380803
22.180132,94.01542,438.71323,320.155,11.166593,21.591501,599.2172,5.1678534
10.257856,93.295364,276.52414,267.87463,14.142969,21.593046,523.39435,5.8829274
23.0,94.91755,439.9997,350.7666,17.12487,21.566679,614.5944,4.618733
22.9998,94.913376,439.64603,345.90756,16.827366,21.577545,565.807,4.8683896
4.5330873,57.584705,98.78939,130.695,4.3913193,4.076481,250.0,6.591415
4.52225,59.17256,98.79447,114.36365,4.6083193,4.076481,250.00256,6.5999966
4.569688,61.754055,98.8284,134.50752,4.961558,4.076481,250.00287,6.6059775
16.306894,92.580124,424.3218,231.61694,11.627958,21.594582,603.49927,6.0836606
4.7454576,90.83539,349.3795,201.67368,8.913071,21.594713,588.39355,6.1493807
22.999962,94.91705,439.83713,349.22244,16.801136,21.535671,584.3964,4.931756
4.5264006,58.87536,100.08277,132.694,5.5195355,4.6204906,270.17944,6.231126
4.5093346,57.66647,98.789116,105.4768,3.8770657,4.076481,250.0,6.846028
9.036685,93.9138,355.11002,249.63982,13.334772,21.5945,573.97406,5.586057
19.739742,93.73108,431.50577,269.41595,9.251293,21.59356,561.87915,5.195787
4.5082173,60.298473,104.969025,153.46083,7.3517976,14.654729,342.05722,6.3624225
17.557554,93.112274,416.13727,299.21625,13.347819,21.591242,496.21802,5.251005
4.538282,64.90452,98.84173,134.76985,6.167679,4.076481,250.03645,6.576716
4.5247636,74.46958,225.55545,207.2166,6.7023473,21.59281,560.815,5.996472
23.0,94.91755,440.0,350.77008,17.127003,21.576244,619.8991,4.6103783
4.567014,67.94731,298.97684,163.61702,9.520123,21.594347,598.7869,5.826829
4.514472,59.45427,116.454254,128.6381,7.356034,20.671978,432.81876,6.393929
23.0,94.91754,439.99762,350.75668,17.098063,21.582624,600.6984,4.72621
23.0,94.91755,440.0,350.77045,17.128775,21.588272,622.1994,4.571715
16.344519,92.93431,431.778,267.06796,11.032752,21.593243,596.0056,5.721602
4.52662,61.45317,98.78958,113.31534,4.3734546,4.076481,250.0,6.7978935
23.0,94.91754,439.99854,350.76035,17.098146,21.578136,613.6546,4.711095
4.5170455,59.9952,98.789215,111.90548,4.015978,4.076481,250.0,6.645103
4.540275,56.025482,98.78943,149.46246,4.839282,4.076481,250.0,6.358773
8.725429,89.201935,391.42706,225.68983,9.2254715,21.593056,553.58105,5.398264
4.51543,57.243286,98.79382,114.2947,4.2353635,4.076481,250.00172,6.463397
4.5360527,70.79327,159.51291,152.11095,11.560172,21.53338,562.1077,5.499737
4.511165,63.19253,120.694954,154.28598,9.36325,19.472578,343.3004,6.424881
17.520811,93.55954,421.8665,274.21387,9.83051,21.589144,592.2325,5.549279
4.5068464,59.748398,124.45778,136.31725,4.914625,21.589418,571.1609,6.581353
23.0,94.91748,439.99445,350.52087,17.034328,21.584736,602.9615,4.699398
5.6075664,74.909004,425.6948,190.62158,7.8559184,21.594398,597.338,5.936538
4.5301366,57.05095,98.80106,123.4228,5.0414834,4.076481,250.00157,6.6675196
4.5270977,58.053894,98.78912,134.10541,4.2008047,4.076481,250.0,6.7220144
4.5295563,59.009815,100.326256,125.81427,5.611127,4.0823855,253.82402,6.3032312
22.317196,90.91017,439.3494,324.25446,13.382638,21.593342,605.60034,5.396138
4.5160155,61.490383,98.882355,124.88146,6.9961915,4.076868,251.71237,6.482525
22.99639,94.89703,439.79504,344.04507,16.068375,21.59369,607.7854,4.9127645
4.522308,61.439953,98.93809,148.59277,5.556871,4.0764823,250.17857,6.4957876
22.643236,94.74209,439.34506,324.49722,14.979691,21.593422,588.691,5.300091
4.559138,58.510387,98.79015,147.58766,4.801444,4.076481,250.00023,6.469876
22.999989,94.91634,439.9775,350.2164,16.740139,21.57322,593.5275,4.968179
22.999987,94.91714,439.7857,350.21927,16.910582,21.524101,602.3683,5.1820493
4.526395,57.629223,98.7892,114.51292,4.0209527,4.076481,250.0,6.553204
20.883266,93.3541,435.07117,234.59108,11.517093,21.592894,593.1622,5.3050785
4.527576,59.909878,98.79217,138.86833,5.20343,4.076481,250.00026,6.634583
4.5371366,59.935215,98.822205,130.38606,6.0448575,4.076481,250.01247,6.560459
22.433138,94.36962,409.32758,313.83215,11.126341,21.559967,599.1751,6.7219205
4.5115566,58.50768,98.80708,139.26756,4.97407,4.076481,250.02339,6.495174
5.311983,88.218185,389.23322,211.83339,12.504685,21.594158,607.7091,5.704666
4.510147,67.7503,185.24161,172.13162,11.900269,21.594263,555.6542,5.856839
22.948486,94.83334,438.94122,319.7299,15.136727,21.590916,583.50415,5.1973867
15.642084,91.456436,430.92963,208.46352,11.987672,21.593328,553.9623,5.5260687
22.997898,94.89032,438.27322,347.61768,16.544676,21.572578,592.5256,5.0589924
5.1386423,72.868286,360.25745,171.58073,9.485532,21.59486,578.9783,5.411744
5.4760575,87.93031,377.7124,211.93675,9.169281,21.593584,596.20056,5.628391
4.547453,58.765137,98.79543,118.39081,4.192116,4.076481,250.00073,6.629312
4.5742908,70.14102,315.12775,142.3841,6.965627,21.59293,555.9688,5.570373
4.5373564,61.134815,98.79468,124.28559,5.1121664,4.076481,250.00165,6.6607413
