ambient_temp,humidity,gas,voc,co,core_temp,light,ph,freshness
23.0,94.91755,440.0,350.77045,17.128775,21.588272,622.1994,4.571715,
20.105194,93.96144,420.77942,281.05865,12.355814,21.59134,549.40375,5.6203847,
13.088423,93.41236,435.03104,270.91504,11.718858,21.59345,610.913,5.6873746,
4.513492,62.14236,98.84506,141.18411,6.8794394,4.0764894,250.11595,6.756841,
4.519162,58.577812,98.79642,131.96901,4.7112975,4.076481,250.00267,6.469497,
4.913102,81.12784,334.89337,160.024,11.084609,21.594913,604.7992,5.771925,
22.978636,94.8992,439.6464,325.8239,12.984125,21.590378,606.3147,5.437613,
4.512832,62.51154,100.697075,121.295906,6.5196953,4.7390075,270.062,6.273062,
22.999935,94.91557,439.98715,349.26254,16.798656,21.58765,602.21045,5.4045944,
4.5068936,66.87998,108.50743,143.46347,8.437745,17.96554,291.53342,5.9358025,
4.5115967,58.240917,98.81338,123.36175,4.747868,4.076481,250.02792,6.3995814,
22.999998,94.91682,439.96997,350.50027,16.789516,21.58798,582.2372,5.1728177,
4.621207,58.508644,98.792564,132.47263,4.9561563,4.076481,250.00008,6.714959,
22.999987,94.91714,439.7857,350.21927,16.910582,21.524101,602.3683,5.1820493,
4.5741835,65.09828,98.79323,111.42102,6.812947,4.076481,250.00012,6.4329596,
19.324528,94.11558,429.8162,269.78775,10.828672,21.590855,589.4007,5.348937,
22.999977,94.916855,439.8523,349.69775,15.4239025,21.587692,579.0346,5.4762726,
4.5464964,57.97513,98.79027,127.51917,4.4785748,4.076481,250.00009,6.680594,
22.73431,94.76513,438.1867,311.29962,13.818641,21.581966,597.6745,5.409356,
22.999691,94.91326,439.98074,348.29224,16.310036,21.580856,608.1051,5.0315604,
4.512327,58.149773,102.663506,142.59346,6.8014207,10.182425,376.10394,6.304062,
4.532683,60.736732,98.818756,120.6331,4.617684,4.076481,250.00172,6.7797813,
4.5356584,61.188187,120.511925,146.58249,6.4847765,9.091166,389.34857,6.3884783,
4.5051546,65.4059,100.56884,164.2804,7.240718,4.127378,258.34973,6.345585,
4.781861,76.27192,269.83316,192.99997,11.775621,21.594751,555.4826,5.455995,
4.5056887,60.664673,124.49236,121.76442,5.136573,21.594109,560.73956,6.455675,
5.1809397,86.119385,343.6709,202.7116,11.618404,21.590921,590.1834,5.7745404,
4.5172744,61.176582,214.2806,138.04976,6.18503,21.59265,594.5201,6.4026613,
4.5105805,59.335777,98.789566,119.608894,4.0656004,4.076481,250.0,6.816361,
4.514204,61.207897,99.10663,146.26974,6.473849,4.0778933,251.99072,6.444285,
22.99997,94.91703,439.88467,349.60837,16.629599,21.563341,598.2212,5.228844,
22.9754,94.8979,436.7558,341.5887,15.311606,21.560215,588.78595,5.5207844,
23.0,94.917404,439.99884,350.67892,16.751734,21.591415,619.5926,4.7509604,
4.5202656,64.80045,100.07086,129.96613,6.8025417,4.16304,278.64093,6.5210843,
4.5172496,58.44619,99.91081,169.17764,5.799706,4.2519374,256.5572,6.329205,
22.979753,94.80942,439.8346,337.57138,15.478333,21.588202,591.2603,4.8735876,
4.519618,57.295547,98.78923,113.343346,4.223451,4.076481,250.0,6.5148087,
4.518235,61.68779,100.086525,132.00279,6.1437454,4.2186103,264.50183,6.438941,
4.532172,58.287735,98.78973,126.450035,5.09097,4.076481,250.00003,6.7813706,
